type,broker,price,beds,baths,sqft,address,state,address_full,lat,lon,sub_locality
House,"Neuhaus Realty, Inc.",2800000,2,1,1800,98A-98G Discala Ln,"Staten Island, NY 10312","98A-98G Discala LnStaten Island, NY 10312",40.5240723,-74.1710503,New York County
Co-op,RE/MAX Team,398800,1,1,2184,3540 82nd St Apt 4D,"Jackson Heights, NY 11372","3540 82nd St Apt 4DJackson Heights, NY 11372",40.7505816,-73.8847602,Queens County
Co-op,EXIT REALTY PRIME,142500,3,1,2184,155-01 90 Ave Unit 6E,"Jamaica, NY 11432","155-01 90 Ave Unit 6EJamaica, NY 11432",40.7048447,-73.8022389,Queens County
House,Century 21 Realty First,2570000,5,2,2000,9223 Ridge Blvd,"Brooklyn, NY 11209","9223 Ridge BlvdBrooklyn, NY 11209",40.6193875,-74.0353364,Kings County
Co-op,"Robert E. Hill, Inc.",225000,1,1,900,601 Pelham Pkwy N Apt 408,"Bronx, NY 10467","601 Pelham Pkwy N Apt 408Bronx, NY 10467",40.8574263,-73.8708848,Bronx County
Co-op,Winzone Realty Inc,345000,1,1,900,143-43 41 Ave Unit 4G,"Flushing, NY 11355","143-43 41 Ave Unit 4GFlushing, NY 11355",40.7606023,-73.8222658,Queens County
House,RE MAX Edge,875000,5,2,1974,1646 E 54th St,"Brooklyn, NY 11234","1646 E 54th StBrooklyn, NY 11234",40.6174718,-73.9231114,Kings County
Pending,Berkshire Hathaway,1188000,7,2,2184,86-17 105th St,"Richmond Hill, NY 11418","86-17 105th StRichmond Hill, NY 11418",40.696809,-73.842496,Queens County
Co-op,COMPASS,694000,2,1,2184,345 Montgomery St Apt 4N,"Brooklyn, NY 11225","345 Montgomery St Apt 4NBrooklyn, NY 11225",40.6657959,-73.9527658,Kings County
Co-op,Douglas Elliman - 575 Madison Ave,495000,1,1,2184,27 E 65th St Apt 2E,"New York, NY 10065","27 E 65th St Apt 2ENew York, NY 10065",40.767256,-73.9682231,New York County
Co-op,Corcoran Chelsea/Flatiron,649000,1,1,687,400 E 56th St Apt 25K,"New York, NY 10022","400 E 56th St Apt 25KNew York, NY 10022",40.7571111,-73.9630783,New York County
Condo,Douglas Elliman - 936 Broadway,659000,2,1,714,39 Argyle Rd Apt 4B,"Brooklyn, NY 11218","39 Argyle Rd Apt 4BBrooklyn, NY 11218",40.6486309,-73.9674377,Kings County
Co-op,"Judy Z Etman, Realtor",429000,2,1,850,160 72nd St Apt 758,"Brooklyn, NY 11209","160 72nd St Apt 758Brooklyn, NY 11209",40.6343667,-74.0311335,Kings County
Pending,Charles H. Greenthal Property,959000,2,2,1719,27110 Grand Central Pkwy Apt 30O,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 30OFloral Park, NY 11005",40.7564761,-73.7212008,Queens County
Condo,Douglas Elliman - Bayside,368000,3,1,2184,2 Bay Club Dr Apt 21H,"Bayside, NY 11360","2 Bay Club Dr Apt 21HBayside, NY 11360",40.7781488,-73.782075,Queens County
House,"Homes R Us Realty of NY, Inc.",758800,3,2,1633,74 Appleby Ave,"Staten Island, NY 10305","74 Appleby AveStaten Island, NY 10305",40.5910792,-74.0801059,Richmond County
Condo,Serhant,1795000,2,2,1245,180 Front St Apt 7F,"Brooklyn, NY 11201","180 Front St Apt 7FBrooklyn, NY 11201",40.7022611,-73.9854097,Kings County
Multi-family home,RE/MAX Team,1595000,5,3,2184,41-33 68 St,"Woodside, NY 11377","41-33 68 StWoodside, NY 11377",40.7435797,-73.8964717,Queens County
Multi-family home,CENTURY 21 Milestone Realty,1089000,4,3,2184,196-11 100 Ave,"Hollis, NY 11423","196-11 100 AveHollis, NY 11423",40.7099505,-73.7626558,Queens County
Condo,Keller Williams Rty Gold Coast,735000,1,1,2184,42-37 27th St Unit 5B,"Long Island City, NY 11101","42-37 27th St Unit 5BLong Island City, NY 11101",40.7491662,-73.9406038,Queens County
Pending,PEERLESS PROPERTIES CORP.,559900,2,1,1217,158-11 96th St,"Howard Beach, NY 11414","158-11 96th StHoward Beach, NY 11414",40.6609023,-73.8371049,Queens County
Co-op,COMPASS,350000,1,1,2184,340 Haven Ave Apt 6A,"Manhattan, NY 10033","340 Haven Ave Apt 6AManhattan, NY 10033",40.8510315,-73.9416561,New York County
Condo,B Square Realty,780000,3,3,1236,32-05 Linden Pl Unit A3,"Flushing, NY 11354","32-05 Linden Pl Unit A3Flushing, NY 11354",40.767546,-73.8314686,Queens County
Co-op,Goldstone N Y Realty Llc,173000,3,1,500,76-26 113 St Unit 1B,"Forest Hills, NY 11375","76-26 113 St Unit 1BForest Hills, NY 11375",40.7172419,-73.8336819,Queens County
House,Weichert Realtors Evolution Group,995000,4,2,2200,43 Sunnyside Ter,"Staten Island, NY 10301","43 Sunnyside TerStaten Island, NY 10301",40.6146934,-74.0996097,Richmond County
Multi-family home,Akcess24homes Inc,775000,4,2,2184,147-37 230th St,"Springfield Gardens, NY 11413","147-37 230th StSpringfield Gardens, NY 11413",40.656902,-73.7523889,Queens County
Condo,The Bouklis Group - The Bouklis Group,1649000,1,1,800,635 W 42nd St Apt 30A,"New York, NY 10036","635 W 42nd St Apt 30ANew York, NY 10036",40.7617008,-73.9996228,New York County
Multi-family home,E Realty International Corp,1290000,5,3,2184,44-12 65th St,"Woodside, NY 11377","44-12 65th StWoodside, NY 11377",40.7404458,-73.9008992,Queens County
House,Howard Hanna | Rand Realty,575000,3,1,1390,920 Harding Park,"Bronx, NY 10473","920 Harding ParkBronx, NY 10473",40.8069155,-73.8562067,Bronx County
House,Cross Country Realty,1499000,7,6,2184,120-47 Sunrise Ct,"College Point, NY 11356","120-47 Sunrise CtCollege Point, NY 11356",40.7952284,-73.8483228,Queens County
